127.0.0.1 - - [23/Apr/2014:10:23:26 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:23:28 +0900] "GET /web/postTest.jsp HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:26:35 +0900] "GET /web/postTest.jsp HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:28:02 +0900] "GET /web/postTest.jsp?name=Kim&address=seoul HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:28:33 +0900] "GET /web/postTest.jsp?name=Kim&address=seoul HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:28:42 +0900] "GET /web/postTest.jsp HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:29:15 +0900] "GET /web/postTest.jsp HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:30:08 +0900] "GET /web/postTest.jsp HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:30:19 +0900] "GET /web/postTest.jsp HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:30:19 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:32:20 +0900] "GET /web/postTest.jsp HTTP/1.1" 500 2691
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:32:44 +0900] "GET /web/postTest.jsp HTTP/1.1" 500 2691
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:33:11 +0900] "GET /web/postTest.jsp HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:33:38 +0900] "GET /web/postTest.jsp HTTP/1.1" 200 83
192.168.0.20 - - [23/Apr/2014:10:46:20 +0900] "POST /web/postTest.jsp HTTP/1.1" 200 83
192.168.0.20 - - [23/Apr/2014:10:46:42 +0900] "POST /web/postTest.jsp HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:46:49 +0900] "GET /web/postTest.jsp HTTP/1.1" 200 83
192.168.0.20 - - [23/Apr/2014:10:46:58 +0900] "POST /web/postTest.jsp HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:47:15 +0900] "GET /web/postTest.jsp?name=Kim&address=seoul HTTP/1.1" 200 83
192.168.0.20 - - [23/Apr/2014:11:15:16 +0900] "POST /web/postTest.jsp HTTP/1.1" 200 83
192.168.0.20 - - [23/Apr/2014:11:16:22 +0900] "POST /web/postTest.jsp HTTP/1.1" 200 83
192.168.0.20 - - [23/Apr/2014:11:16:49 +0900] "POST /web/postTest.jsp HTTP/1.1" 200 83
192.168.0.20 - - [23/Apr/2014:11:16:58 +0900] "POST /web/postTest.jsp HTTP/1.1" 200 83
192.168.0.20 - - [23/Apr/2014:11:17:15 +0900] "POST /web/postTest.jsp HTTP/1.1" 200 83
